Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231228213933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
825,26/11/2023 14:57:33 (UTC-4:00),Normal, ,341.6,4.2,1435,342.6,4.1,1405,338.7,4.1,1389,10.0,0.1,0,222.2,0.0,0.0,18.4,0.0,0.0,4150.000,60.000,39.500,1232.000,12218.000,31695.000,48.5, ,0.00,0.000,0.000,0.000,0
826,26/11/2023 15:02:36 (UTC-4:00),Normal, ,344.1,3.5,1204,333.2,3.5,1166,341.1,3.4,1160,10.4,0.1,0,222.1,0.0,0.0,15.4,0.0,0.0,3480.000,59.980,39.700,1232.000,12218.000,31695.000,47.6, ,0.00,0.000,0.000,0.000,0
827,26/11/2023 15:07:40 (UTC-4:00),Normal, ,330.1,1.3,429,327.1,1.3,425,327.1,1.3,425,13.5,0.1,0,221.1,0.0,0.0,6.0,0.0,0.0,1240.000,60.040,40.000,1232.000,12219.000,31695.000,46.6, ,0.00,0.000,0.000,0.000,0
828,26/11/2023 15:12:42 (UTC-4:00),Normal, ,344.2,1.6,551,349.3,1.5,524,337.3,1.5,506,14.6,0.1,0,221.1,0.0,0.0,6.9,0.0,0.0,1470.000,60.000,40.100,1233.000,12219.000,31695.000,44.0, ,0.00,0.000,0.000,0.000,0
829,26/11/2023 15:17:45 (UTC-4:00),Normal, ,346.0,2.2,761,343.1,2.2,755,343.1,2.1,721,11.7,0.1,0,220.9,0.0,0.0,10.0,0.0,0.0,2200.000,59.970,40.300,1233.000,12219.000,31696.000,42.8, ,0.00,0.000,0.000,0.000,0
830,26/11/2023 15:22:51 (UTC-4:00),Normal, ,354.0,1.6,566,335.1,1.6,536,335.1,1.6,536,14.6,0.1,0,220.4,0.0,0.0,7.2,0.0,0.0,1530.000,59.960,40.500,1233.000,12219.000,31696.000,42.8, ,0.00,0.000,0.000,0.000,0
831,26/11/2023 15:27:54 (UTC-4:00),Normal, ,354.2,1.6,567,339.3,1.6,543,339.3,1.6,543,16.4,0.1,0,220.7,0.0,0.0,7.3,0.0,0.0,1530.000,59.970,40.600,1233.000,12219.000,31696.000,41.7, ,0.00,0.000,0.000,0.000,0
832,26/11/2023 15:32:56 (UTC-4:00),Normal, ,336.2,1.5,504,341.3,1.5,512,341.3,1.5,512,16.9,0.1,0,220.4,0.0,0.0,6.6,0.0,0.0,1390.000,59.970,40.700,1233.000,12219.000,31696.000,40.8, ,0.00,0.000,0.000,0.000,0
833,26/11/2023 15:37:59 (UTC-4:00),Normal, ,340.2,1.5,510,341.3,1.5,512,341.3,1.5,512,16.6,0.1,0,220.4,0.0,0.0,6.6,0.0,0.0,1380.000,59.950,40.900,1233.000,12220.000,31696.000,40.3, ,0.00,0.000,0.000,0.000,0
834,26/11/2023 15:42:58 (UTC-4:00),Normal, ,340.1,1.4,476,337.2,1.4,472,337.2,1.4,472,11.5,0.1,0,220.5,0.0,0.0,6.4,0.0,0.0,1320.000,60.000,40.900,1233.000,12220.000,31696.000,39.7, ,0.00,0.000,0.000,0.000,0
