YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M
2022,12,24,22,19.44,17.99,18.72,13.92,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.12,0.0,92.98,4.41,121.52,6.17,120.69
2022,12,24,23,19.15,17.73,18.44,13.67,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.38,0.0,92.93,4.26,116.0,6.25,113.36
2022,12,25,0,18.83,17.55,18.19,13.55,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.12,0.0,92.86,4.06,104.04,6.35,103.3
2022,12,25,1,18.49,17.51,18.01,13.49,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,93.88,0.01,92.83,3.72,92.89,6.23,90.72
2022,12,25,2,18.75,17.55,18.15,13.55,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.62,0.01,92.81,3.53,72.89,6.37,70.81
2022,12,25,3,18.85,17.58,18.22,13.55,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.25,0.01,92.81,3.12,57.78,6.2,55.99
2022,12,25,4,18.44,17.53,17.99,13.49,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.25,0.01,92.84,2.47,49.75,5.48,48.81
2022,12,25,5,17.94,17.4,17.67,13.43,15.02,12.3,0.36,0.12,88.28,5.0,5.15,0.66,0.0,0.02,96.5,0.01,92.9,1.98,47.07,4.49,46.48
2022,12,25,6,19.63,17.69,18.65,13.61,154.15,170.23,0.48,0.16,76.96,67.9,76.38,8.05,0.06,0.3,88.38,0.01,92.96,2.45,47.2,3.19,45.2
2022,12,25,7,22.38,17.52,19.95,13.49,387.92,401.83,0.62,0.13,63.83,175.62,184.5,21.01,0.36,1.8,73.88,0.02,92.99,2.77,35.93,3.68,34.36
2022,12,25,8,25.23,17.12,21.17,13.12,612.51,634.23,0.68,0.14,50.45,281.85,292.6,35.95,0.92,4.7,60.69,0.12,92.99,3.09,30.19,3.86,30.92
2022,12,25,9,27.37,16.9,22.14,13.0,822.12,832.0,0.73,0.15,36.92,381.52,383.25,50.47,1.63,8.7,52.75,0.22,92.95,2.94,35.8,3.6,37.14
2022,12,25,10,29.05,16.8,22.93,12.88,967.09,979.88,0.75,0.16,23.35,454.02,451.42,61.55,2.29,12.75,47.56,0.21,92.89,2.81,40.83,3.43,42.41
2022,12,25,11,30.19,16.78,23.48,12.88,979.58,1061.38,0.71,0.17,10.09,472.88,488.48,65.18,2.61,14.9,44.5,0.24,92.81,2.46,43.84,3.02,45.94
2022,12,25,12,30.78,16.81,23.8,12.94,899.21,1068.15,0.64,0.17,6.13,433.05,491.15,59.83,2.43,13.8,43.06,0.3,92.74,1.96,48.39,2.43,51.14
2022,12,25,13,30.82,16.83,23.83,12.94,804.88,1007.77,0.6,0.16,18.8,383.0,464.33,52.95,2.06,11.12,43.0,0.4,92.68,1.37,54.5,1.75,58.16
2022,12,25,14,30.34,16.92,23.63,13.06,612.73,881.52,0.52,0.16,32.34,286.98,407.27,40.0,1.41,7.25,44.5,0.51,92.64,0.6,75.6,0.85,78.27
2022,12,25,15,29.24,17.15,23.19,13.24,561.45,698.67,0.57,0.15,45.9,261.55,323.77,34.83,1.01,5.42,48.12,0.88,92.62,0.65,150.34,0.86,146.45
2022,12,25,16,27.8,18.29,23.05,14.22,347.37,475.45,0.48,0.16,59.34,159.2,220.02,20.98,0.45,2.25,56.25,1.55,92.64,1.35,158.63,1.81,157.74
2022,12,25,17,25.81,19.29,22.55,15.14,168.26,237.67,0.4,0.15,72.58,76.05,108.23,9.8,0.12,0.58,67.31,2.53,92.7,1.97,151.91,2.77,152.28
2022,12,25,18,23.77,20.2,21.98,16.05,29.09,39.45,0.26,0.13,85.34,11.58,17.05,1.55,0.01,0.02,80.38,3.3,92.76,2.18,145.23,3.22,145.19
2022,12,25,19,22.54,20.53,21.53,16.36,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,88.31,2.19,92.81,2.2,134.71,3.55,134.2
2022,12,25,20,21.84,20.58,21.21,16.36,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.38,0.78,92.84,2.86,126.34,4.56,126.14
2022,12,25,21,21.33,20.38,20.86,16.17,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.25,0.36,92.88,4.1,117.49,6.07,117.36
2022,12,25,22,20.83,20.01,20.41,15.81,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.94,0.16,92.9,4.85,110.74,6.93,110.6
2022,12,25,23,20.41,19.55,19.98,15.38,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.69,0.04,92.88,4.94,107.95,7.16,107.66
2022,12,26,0,20.1,19.19,19.65,15.01,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.38,0.02,92.81,4.72,104.66,7.01,104.45
2022,12,26,1,19.93,19.06,19.49,14.89,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.56,0.02,92.76,4.18,99.02,6.52,98.75
2022,12,26,2,19.85,19.06,19.46,14.89,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.06,0.03,92.75,3.5,90.77,5.91,90.45
2022,12,26,3,19.79,19.08,19.44,14.95,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.56,0.05,92.74,2.99,81.42,5.5,81.1
2022,12,26,4,19.68,19.07,19.37,14.89,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,96.12,0.08,92.76,2.51,73.71,5.11,73.39
2022,12,26,5,19.59,19.08,19.33,14.89,8.84,10.2,0.22,0.1,88.34,2.5,4.42,0.35,0.0,0.0,96.69,0.09,92.81,2.05,64.02,4.52,63.83
2022,12,26,6,20.28,19.41,19.85,15.2,55.4,145.7,0.18,0.13,77.08,24.55,64.35,3.28,0.03,0.12,94.62,0.11,92.85,2.39,52.83,3.65,52.74
2022,12,26,7,21.01,19.8,20.41,15.62,173.05,371.4,0.28,0.14,63.95,81.08,169.6,11.27,0.22,1.1,92.62,0.24,92.87,2.27,32.65,2.82,29.76
2022,12,26,8,22.08,20.13,21.1,15.93,344.52,600.88,0.38,0.15,50.56,165.25,277.25,23.2,0.66,3.52,88.56,0.47,92.88,2.87,354.54,3.67,353.03
2022,12,26,9,22.82,20.01,21.41,15.81,492.15,800.3,0.44,0.16,37.03,237.85,370.08,33.24,1.16,6.27,84.06,2.19,92.89,3.78,342.69,4.75,343.06
2022,12,26,10,23.48,19.69,21.58,15.5,594.63,945.42,0.46,0.16,23.46,288.2,436.85,40.52,1.58,8.05,79.19,2.71,92.88,4.47,341.47,5.59,342.25
2022,12,26,11,23.98,19.54,21.76,15.32,566.6,1026.9,0.41,0.16,10.19,285.6,474.17,41.11,1.69,9.38,76.12,2.0,92.84,4.76,341.71,5.91,342.55
2022,12,26,12,24.4,19.58,21.99,15.38,546.25,1037.02,0.39,0.16,6.05,274.73,478.55,39.28,1.62,9.12,74.38,1.3,92.78,4.53,339.72,5.61,340.66
