Time,Total Inverter Power(W)
2023-07-09 09:59:19,5370.0
2023-07-09 10:04:23,5690.0
2023-07-09 10:09:27,5780.0
2023-07-09 10:14:32,5020.0
2023-07-09 10:19:38,4030.0
2023-07-09 10:24:41,5080.0
2023-07-09 10:29:46,2990.0
2023-07-09 10:34:51,5430.0
2023-07-09 10:39:56,5170.0
2023-07-09 10:45:00,5020.0
2023-07-09 10:50:01,5140.0
2023-07-09 10:55:01,4980.0
2023-07-09 11:00:03,4860.0
2023-07-09 11:05:04,5770.0
2023-07-09 11:10:04,5110.0
2023-07-09 11:15:05,2160.0
2023-07-09 11:20:08,2070.0
2023-07-09 11:25:08,2410.0
2023-07-09 11:30:09,2730.0
2023-07-09 11:35:11,3620.0
2023-07-09 11:40:11,4550.0
2023-07-09 11:45:12,3920.0
2023-07-09 11:50:18,4080.0
2023-07-09 11:55:20,4260.0
2023-07-09 12:00:26,4570.0
2023-07-09 12:05:31,4480.0
2023-07-09 12:10:35,4410.0
2023-07-09 12:10:46,4410.0
2023-07-09 12:15:38,4180.0
2023-07-09 12:20:39,4430.0
2023-07-09 12:25:39,4130.0
2023-07-09 12:30:40,4390.0
2023-07-09 12:35:41,4670.0
2023-07-09 12:40:41,4590.0
2023-07-09 12:45:42,4600.0
2023-07-09 12:50:43,4920.0
2023-07-09 12:55:43,5060.0
2023-07-09 13:00:44,5190.0
2023-07-09 13:05:45,5090.0
2023-07-09 13:10:48,5090.0
2023-07-09 13:15:50,5020.0
2023-07-09 13:20:55,5040.0
2023-07-09 13:26:00,4810.0
2023-07-09 13:31:04,4650.0
2023-07-09 13:36:09,4420.0
2023-07-09 13:41:13,4420.0
2023-07-09 13:46:18,4330.0
2023-07-09 13:51:23,4350.0
2023-07-09 13:51:34,4300.0
2023-07-09 13:56:27,4600.0
2023-07-09 14:01:32,4390.0
2023-07-09 14:06:32,4510.0
2023-07-09 14:11:33,4480.0
2023-07-09 14:16:35,4730.0
2023-07-09 14:21:35,4840.0
2023-07-09 14:26:36,4840.0
2023-07-09 14:31:36,4640.0
2023-07-09 14:36:37,4490.0
2023-07-09 14:41:38,4320.0
2023-07-09 14:46:39,4360.0
2023-07-09 14:51:40,4500.0
2023-07-09 14:56:41,4660.0
2023-07-09 15:01:41,4740.0
2023-07-09 15:06:44,4720.0
2023-07-09 15:11:49,4830.0
2023-07-09 15:16:53,4910.0
2023-07-09 15:21:59,5040.0
2023-07-09 15:27:00,5030.0
2023-07-09 15:32:00,5080.0
2023-07-09 15:36:17,4990.0
2023-07-09 15:41:34,5010.0
2023-07-09 15:46:34,4850.0
2023-07-09 15:51:34,4900.0
2023-07-09 15:56:35,4950.0
2023-07-09 16:01:34,4980.0
2023-07-09 16:06:35,4870.0
2023-07-09 16:11:35,5140.0
2023-07-09 16:16:40,5210.0
2023-07-09 16:21:42,5360.0
2023-07-09 16:26:46,5470.0
2023-07-09 16:31:51,5590.0
2023-07-09 16:36:54,5660.0
2023-07-09 16:41:59,5770.0
2023-07-09 16:47:02,5880.0
2023-07-09 16:52:06,5940.0
2023-07-09 16:57:10,6130.0
2023-07-10 05:50:40,6210.0
2023-07-10 05:55:41,6240.0
2023-07-10 06:00:44,6350.0
2023-07-10 06:05:50,6410.0
2023-07-10 06:10:57,6540.0
2023-07-10 06:16:01,6650.0
2023-07-10 06:21:05,6660.0
2023-07-10 06:26:09,6800.0
2023-07-10 06:31:13,6890.0
2023-07-10 06:36:18,6950.0
2023-07-10 06:41:23,7000.0
2023-07-10 06:46:29,7180.0
2023-07-10 06:51:33,7560.0
2023-07-10 06:56:37,7930.0
2023-07-10 06:56:48,7790.0
2023-07-10 07:01:42,7800.0
2023-07-10 07:06:48,7750.0
2023-07-10 07:06:59,7760.0
2023-07-10 07:11:52,7590.0
2023-07-10 07:16:57,7660.0
2023-07-10 07:22:02,7780.0
2023-07-10 07:27:08,8120.0
2023-07-10 07:32:13,7950.0
2023-07-10 07:37:18,6980.0
2023-07-10 07:42:23,7070.0
2023-07-10 07:47:28,7120.0
2023-07-10 07:52:29,7200.0
2023-07-10 07:57:30,7270.0
2023-07-10 08:02:31,7270.0
2023-07-10 08:07:32,7380.0
2023-07-10 08:12:33,7490.0
2023-07-10 08:17:34,7820.0
2023-07-10 08:22:35,8560.0
2023-07-10 08:27:36,8970.0
2023-07-10 08:32:37,10810.0
2023-07-10 08:37:38,8810.0
2023-07-10 08:42:38,9050.0
2023-07-10 08:47:41,9910.0
2023-07-10 08:52:47,8170.0
2023-07-10 08:57:52,8050.0
2023-07-10 08:58:17,8000.0
2023-07-10 09:02:56,7760.0
2023-07-10 09:08:01,7700.0
2023-07-10 09:13:03,10330.0
2023-07-10 09:18:03,9030.0
2023-07-10 09:23:04,9360.0
2023-07-10 09:28:05,7650.0
2023-07-10 09:33:06,8330.0
2023-07-10 09:38:07,7600.0
2023-07-10 09:43:08,7230.0
2023-07-10 09:48:09,7090.0
2023-07-10 09:53:10,6680.0
2023-07-10 09:58:11,7680.0
2023-07-10 10:03:12,8430.0
2023-07-10 10:08:14,7050.0
2023-07-10 10:13:19,8620.0
2023-07-10 10:18:25,7720.0
2023-07-10 10:23:31,7400.0
2023-07-10 10:28:34,6500.0
2023-07-10 10:33:39,7380.0
2023-07-10 10:38:45,9670.0
2023-07-10 10:43:49,9550.0
2023-07-10 10:48:54,9430.0
2023-07-10 10:53:59,8590.0
2023-07-10 10:59:05,6890.0
2023-07-10 10:59:16,6300.0
2023-07-10 11:04:10,9950.0
2023-07-10 11:09:15,9380.0
2023-07-10 11:14:19,7330.0
2023-07-10 11:19:26,4450.0
2023-07-10 11:24:29,9040.0
2023-07-10 11:29:37,4070.0
2023-07-10 11:34:39,4230.0
2023-07-10 11:39:45,7130.0
2023-07-10 11:44:50,3630.0
2023-07-10 11:49:54,5540.0
2023-07-10 11:54:59,4640.0
2023-07-10 12:00:05,6510.0
2023-07-10 12:05:12,5970.0
2023-07-10 12:10:15,7160.0
2023-07-10 12:15:22,3990.0
2023-07-10 12:20:26,3060.0
2023-07-10 12:25:30,3760.0
2023-07-10 12:30:35,3650.0
2023-07-10 12:35:40,4300.0
2023-07-10 12:40:46,3630.0
2023-07-10 12:41:24,3610.0
2023-07-10 12:46:49,4630.0
2023-07-10 12:51:49,4910.0
2023-07-10 12:52:00,5130.0
2023-07-10 12:56:50,6720.0
2023-07-10 13:01:51,5740.0
2023-07-10 13:06:52,5390.0
2023-07-10 13:11:54,4360.0
2023-07-10 13:16:55,5270.0
2023-07-10 13:21:56,5200.0
2023-07-10 13:26:57,5040.0
2023-07-10 13:31:58,4730.0
2023-07-10 13:37:04,5030.0
2023-07-10 13:42:08,4640.0
